"Citation","PubData"
"Daniels and Fish 1995","Daniels, T. J., and D. Fish. 1995. Effect of Deer Exclusion on the Abundance of Immature Ixodes- Scapularis (Acari, Ixodidae) Parasitizing Small and Medium- Sized Mammals. Journal of Medical Entomology 32:5-11."
"Danner et al. 1998","Danner, G. R., M. W. McGregor, R. L. Zarnke, and C. W. Olsen. 1998. Serologic evidence of influenza virus infection in a ringed seal (Phoca hispida) from Alaska. Marine Mammal Science 14:380-384."
"Daoust et al. 1993","Daoust, P. Y., D. M. Haines, J. Thorsen, P. J. Duignan, and J. R. Geraci. 1993. Phocine Distemper in a Harp Seal (Phoca-Groenlandica) from the Gulf of St-Lawrence, Canada. Journal of Wildlife Diseases 29:114-117."
"Daoust et al. 1996","Daoust, P. Y., A. I. Wandeler, and G. A. Casey. 1996. Cluster of rabies cases of probable bat origin among red foxes in Prince Edward Island, Canada. Journal of Wildlife Diseases 32:403-406."
"Daoust et al. 2009","Daoust, P. Y., S. R. McBurney, D. L. Godson, M. W. G. van de Bildt and A. Osterhaus. 2009. Canine distemper virus-associated encephalitis in free-living lynx (lynx canadensis) and bobcats (lynx rufus) of eastern canada. Journal of Wildlife Diseases 45: 611-624"
"Dautel, et al. 2006","Dautel, H., Dippel, C., Oehme, R., Hartelt, K., Schettler, E. (2006) Evidence for an increased geographical distribution of Dermacentorreticulatus in Germany and detection of Rickettsia sp. RpA4. International Journal of Medical Microbiology 296: 149-156."
"Davidson et al 1985","Davidson, W. R., Crum, J. M., Blue, J. L., Sharp, D. W. and J. A. Phillips (1985) Parasites, diseases, and health status of sympatric populations of fallow deer and white-tailed deer in Kentucky.  Journal of Wildlife Diseases, 21: 153-159."
"Davidson et al 1987","Davidson, W. R., J. L. Blue, et al. (1987). ""Parasites Diseases and Health Status of Sympatric Populations of Sambar Deer and White-Tailed Deer in Florida USA."" Journal of Wildlife Diseases 23(2): 267-272."
"Davidson et al 1999","Davidson, H., J., G. Vestweber Jerome, et al. (1999). ""Ophthalmic examination and conjunctival bacteriologic culture results from a herd of North American bison."" Journal of the American Veterinary Medical Association 215(8): 1142-1144."
"Davidson et al. 1992","Davidson, W. R., V. F. Nettles, L. E. Hayes, E. W. Howerth, and C. E. Couvillion. 1992. Diseases Diagnosed in Gray Foxes (Urocyon-Cinereoargenteus) from the Southeastern United-States. Journal of Wildlife Diseases 28:28-33."
"Davidson et al. 2006a","Davidson, R. K., B. Gjerde, T. Vikoren, A. Lillehaug and K. Handeland. 2006. Prevalcen of trichinella larvae and extra-intestinal nematodes in norwegian red foxes (vulpes vulpes). Veterinary Parasitology 136: 307-316"
"Davidson et al. 2006b","Davidson, R. K., K. Handeland and B. Gjerde. 2006. The first report of aelurostrongylus falciformis in norwegian badgers (meles meles). Acta Veterinaria Scandinavica 48: 6-9"
"Davidson et al. 2008","Davidson, R. K., S. Bornstein and K. Handeland. 2008. Long-term study of sarcoptes scabiei infection in norwegian red foxes (vulpes vulpes) indicating host/parasite adaptation. Veterinary Parasitology 156: 277-283"
"Davidson et al. 2009b","Davidson, R. K., I. Orpetveit, L. Moller and C. M. O. Kapel. 2009. Serological detection of anti-trichinella antibodies in wild foxes and experimentally infected farmed foxes in norway. Veterinary Parasitology 163: 93-100"
"Davies et al. 1991","Davies, C. R., J. M. Ayres, C. Dye, and L. M. Deane. 1991. Malaria Infection-Rate of Amazonian Primates Increases with Body-Weight and Group-Size. Functional Ecology 5:655-662."
"Dawson et al 1994","Dawson Jacqueline, E., E. Childs James, et al. (1994). ""White-tailed deer as a potential reservoir of Ehrlichia spp."" Journal of Wildlife Diseases 30(2): 162-168."
"Dawson et al 1996","Dawson Jacqueline, E., K. Warner Cynthia, et al. (1996). ""Ehrlichia-like 16S rDNA sequence from wild white-tailed deer (Odocoileus virginianus)."" Journal of Parasitology 82(1): 52-58."
"de-la-Muela et al 2001","de-la-Muela, N., S. Hernandez-de-Lujan, et al. (2001). ""Helminths of wild boar in Spain."" Journal of Wildlife Diseases 37(4): 840-843."
"De Almeida et al. 2012","De Almeida, M.A.B. Santos, E.D. Cardoso, J.D.C. Da Fonseca, D.F. Noll, C.A. Silveira, V.R. Maeda, A.Y. De Souza, R.P. Kanamura, C. Brasil, R.A. 2012. Yellow fever outbreak affecting Alouatta populations in southern Brazil (Rio Grande do Sul State), 2008-2009. American Journal of Primatology 74: 68-76."
"de Arruda et al. 1989","de Arruda, M., E. H. Nardin, R. S. Nussenzweig, and A. H. Cochrane. 1989. Sero-Epidemiological Studies of Malaria in Indian Tribes and Monkeys of the Amazon Basin of Brazil. American Journal of Tropical Medicine and Hygiene 41:379-385."
"De Bosschere et al. 2007","De Bosschere, H., Casaer, J., Neukermans, A., Baert, K., Ceulemans, T., Tavernier, P., Roels, S. (2007) Severe alopecia due to demodicosis in roe deer(Capreolus capreolus) in Belgium. The Veterinary Journal 174: 665-668."
"de Gruijter et al. 2004","de Gruijter, J. M., Ziem, J., Verweij, J. J., Polderman, A.M., and Gasser, R. B. 2004. Genetic substructuring within Oesophagostomum Bifurcum (Nematoda) from human and non-human primates from Ghana based on random amplified polymorphic DNA analysis. Am. J. Trop. Med. Hyg. 71(2): 227-233."
"de Gruijter et al. 2005","De Gruijter, J. M., R. B. Gasser, A. M. Polderman, V. Asigri, and L. Dijkshoorn. 2005. High resolution DNA fingerprinting by AFLP to study the genetic variation among Oesophagostomum bifurcum (Nematoda) from human and non-human primates from Ghana. Parasitology 130:229-237."
"de la Fuente et al 2000","de la Fuente, C., San Miguel, J. M., Santin, M., Alunda, J. M., Dominguez, I., Lopez, A., Carballo, M. and Gonzalez, A. (2000) Phayngeal bot flies in Cervus elaphus in central Spain: prevalence and population dynamics.  Journal of Parasitology 86 (1) 33-37."
"de la Fuente et al 2001","de la Fuente-Lopez, C., M. Santin-Duran, et al. (2001). ""Seasonal changes in prevalence and intensity of Hypoderma actaeon in Cervus elaphus from central Spain."" Medical and Veterinary Entomology 15(2): 204-207."
"de la fuente et al. 2004","de la Fuente, J., Naranjo, V., Ruiz-Fons, F., Vicente, J., Estrada-Pena, A., Almazan, C., Kocan, K. M., Martin, M. P., Gortazar, C. (2004) Prevalence of tick-borne pathogens in ixodid ticks (Acari: Ixodidae)collected from European wild boar (Sus scrofa) and Iberian red deer(Cervus elaphus hispanicus) in central Spain. European Journal of Wildlidfe 50: 187-196."
"de la fuente et al. 2004b","de la Fuente, J., Vicente, J., Hofle, U., Ruiz-Fons, F., de Mera, I. G. F., Bussche, R. A. V. D., Kocan, K. M., Gortazar, C. (2004) Anaplasma infection in free-ranging Iberian red deerin the region of Castilla-La Mancha, Spain. Veterinary Microbiology 100: 163-173."
"de la Fuente et al. 2008","de la Fuente, J., Ruiz-Fons, F., Naranjo, V., Torina, A., Rodriguez, O., Gortazar, C. (2008) Evidence of Anaplasma infections in European roe deer(Capreolus capreolus) from southern Spain. Research in Veterinary Science 84: 382-386."
"de Lisle et al. 2008","de Lisle, G. W., R. P. Kawakami, G. F. Yates and D. M. Collins. 2008. Isolation of mycobacterium bovis and other mycobacterial species from ferrets and stoats. Veterinary Microbiology 132: 402-407"
"De Meneghi et al 2002","De Meneghi, D., Ferroglio, E., Bollo, E., Vizcaino, L. L., Moresco, A. and L. Rossi (2002) Dermatophilosis of Alpine chamois (Rupicapra rupicapra) in Italy. Schweizer Archiv fuer Tierheilkunde, 144: 131-136."
"de Mera et al. 2008","de Mera, I. G. F., de la Lastra, J. M. P., Ayoubi, P., Naranjo, V., Kocan, K. M., Gortazar, C., de la Fuente, J. (2008) Differential expression of inflammatory and immuneresponse genes in mesenteric lymph nodes of Iberianred deer (Cervus elaphus hispanicus) naturallyinfected with Mycobacterium bovis. Developmental and Comparative Immunology 32: 85-91."
"De Nys et al. 2013","De Nys HM, Calvignac-Spencer S, Thiesen U, Boesch C, Wittig RM, Mundry R, Leendertz FH. 2013. Age-related effects on malaria parasite infection in wild chimpanzees. Biology Letters 9:20121160."
"de Oliveira Tavela et al. 2013","de Oliveira Tavela, A., L. F. Fuzessy, V. H. Dornelas e Silva, F. de Fatima Rodrigues da Silva, M. C. Junior, and I. de Oliveira Silva. 2013. Helminths of wild hybrid marmosets (Callithrix sp.) living in an environment with high human activity. Rev. Bras. Parasitol. Vet. 22:391-397."
"de Thoisy et al. 2001","de Thoisy, B., I. Vogel, J. M. Reynes, J. F. Pouliquen, B. Carme, M. Kazanji, and J. C. Vie. 2001. Health evaluation of translocated free-ranging primates in French Guiana. American Journal of Primatology 54:1-16."
"de Thoisy et al. 2003a","de Thoisy, B., J. F. Pouliquen, V. Lacoste, A. Gessain, and M. Kazanji. 2003. Novel gamma-1 herpesviruses identified in free-ranging new world monkeys (golden-handed tamarin [Saguinus midas], squirrel monkey [Saimiri sciureus], and white-faced saki [Pithecia pithecia]) in French Guiana. Journal of Virology 77:9099-9105."
"de Thoisy et al. 2003b","de Thoisy, B.; Gardon, J.; Salas, Rosa Alba; Morvan, Jacques; Kazanji, Mirdad. 2003. Mayaro Virus in Wild Mammals, French Guiana. Emerging Infectioius Diseases Vol. 9, No. 10: 1326-1329.)"
"de Thoisy et al. 2003c","de Thoisy B, Demar M, Aznar C, Carme B. (2003). Ecologic correlates of Toxoplasma gondii exposure in free-ranging neotropical mammals. JOURNAL OF WILDLIFE DISEASES 39 (2): 456-459 APR 2003."
"De Villiers et al 1985","De Villiers, I. L., R. Liversidge, et al. (1985). ""Arthropods and Helminths in Springbok Antidorcas-Marsupialis at Benfontein Kimberley South Africa."" Onderstepoort Journal of Veterinary Research 52(1): 1-12."
"De Vos et al 2001","De Vos, V., Bengis, R. G., Kriek, N. P. J., Michel, A., Keet, D. F., Raath, J. P., and H. F. K. A. Huchzermeyer (2001) The epidemiology of tuberculosis in free-ranging African buffalo (Syncerus caffer) in the Kruger National Park, South Africa.  Onderstepoort Journal of Veterinary Research, 68: 119-130."
"de Vos et al. 1973","de Vos, V. 1973. A Survey of Selected Bacteriological Infections of the Chacma Baboon Papio Ursinus From the Kruger National Park. Koedoe:1- 10."
"Deane and Damasceno 1961","Deane, L. M., and R. G. Damasceno. 1961. Tripanosomideos de mamiferos da regiao amazonica. II. Tripanosomas de macacos da zona do Salgado, estado do Para. Revista do Instituto de Medicina Tropical de Sao Paolo 3(2): 61-70."
"Deane et al. 1969","Deane, L. M., J. A. Ferreira Neto, M. Okumura, and M. O. Ferreira. 1969. Rev. Inst. Med. Trop. Sao Paulo 11:71- 86."
"Deane et al. 1971","Deane, L. M., M. Paumgartten Deane, J. A. Ferreira Neto, and F. Barbosa de Almeida. 1971. On the transmission of simian malaria in Brazil. Revista do Instituto de Medicina Tropical de Sao Paulo 13:311-319."
"Deane et al. 1989","Deane, L. M., R. Lourenco-de-Oliveira, M. Ziccardi, and S. L. B. Luz. 1989. Simian plasmodia and trypanosomes in Rondonia State, Brazil. Memorias do Instituto Oswaldo Cruz 84:143."
"Deblinger et al 1993","Deblinger, R., D., L. Wilson Mark, et al. (1993). ìReduced abundance of immature Ixodes dammini (Acari: Ixodidae) following incremental removal of deer. Journal of Medical Entomology 30(1): 144-150."
"Deem and Emmons 2005","Deem, S. L. and L. H. Emmons. 2005. Exposure of free-ranging maned wolves (chrysocyon brachyurus) to infectious and parasitic disease agents in the noel kempff mercado national park, bolivia. Journal of Zoo and Wildlife Medicine 36: 192-197"
"Deem et al. 2002","Deem, S. L., A. J. Noss, R. L. Cuellar, R. Villarroel, M. J. Linn and D. J. Forrester. 2002. Sarcoptic mange in free-ranging pampas foxes in the gran chaco, bolivia. Journal of Wildlife Diseases 38: 625-628"
"Deem et al. 2005","Deem, S. L., Maisels, F., Robbins, R. G. (2005) Necropsy and parasitic findings from an adult forest buffalo(Syncerus caffer nanus) found dead in the Republic of Congo. European Journal of Wildlife Research 51: 60-62."
"Degiorgis et al 2000a","Degiorgis, M., Abdo, E., Nicolet, J., Frey, J., Mayer, D. and M. Giacometti (2000) Immune responses to Mycoplasma conjunctivae in Alpine Ibex, Alpine Chamois, and domestic sheep in Switzerland. Journal of Willdife Diseases, 36: 265-271."
"Degiorgis et al 2000b","Degiorgis, M. P., Frey, J., Nicolet, J., Abdo, E., M., Fatzer, R., Schlatter, Y., Reist, S., Janovsky, M. and M. Giacometti (2000) An outbreak of infectious keratoconjunctivitis in Alpine chamois (Rupicapra r. rupicapra) in Simmental-Gruyeres Switzerland. Schweiz. Arch. Tierheilk, 142: 520-527."
"Degiorgis et al. 2001","Degiorgis, M. P., C. H. af Segerstad, B. Christensson, and T. Morner. 2001. Otodectic otoacariasis in free-ranging Eurasian lynx in Sweden. Journal of Wildlife Diseases 37:626-629."
"Delahay et al 2007","Delahay, R. J., Smith, G. C., Barlow, A. M., Walker, N., Harris, A., Clifton-Hadley, R. S., Cheeseman, C. L. (2007) Bovine tuberculosis infection in wild mammals in the South-West region of England: A survey of prevalence and a semi-quantitative assessment of the relative risks to cattle. The Veterinary Journal 173: 287-301."
"Delahay et al. 1998","Delahay, R. J., M. J. Daniels, D. W. Macdonald, K. McGuire, and D. Balharry. 1998. Do patterns of helminth parasitism differ between groups of wild-living cats in Scotland? Journal of Zoology 245:175-183."
"Delgiudice et al 1997","Delgiudice Glenn, D., O. Petersen Rolf, et al. (1997). ""Trends of winter nutritional restriction, ticks, and numbers of moose on Isle Royale."" Journal of Wildlife Management 61(3): 895-903."
"Delpietro et al. 1997","Delpietro, H. A., F. GuryDhomen, O. P. Larghi, C. MenaSegura, and L. Abramo. 1997. Monoclonal antibody characterization of rabies virus strains isolated in the River Plate Basin. Journal of Veterinary Medicine Series B-Infectious Diseases and Veterinary Public Health 44:477-483."
"Delpietro et al. 2009","Delpietro, H. A., R. D. Lord, R. G. Russo and F. Gury-Dhomen. 2009. Observations of sylvatic rabies in northern argentina during outbreaks of paralytic cattle rabies transmitted by vampire bats (desmodus rotundus). Journal of Wildlife Diseases 45: 1169-1173"
"Demar et al. 2008","Demar, M., D. Ajzenberg, B. Serrurier, M. L. Darde and B. Carme. 2008. Case report: A typical toxoplasma gondii strain from a free-living jaguar (panthera onca) in french guiana. American Journal of Tropical Medicine and Hygiene 78: 195-197"
"Demarais et al 1987","Demarais, S., H. A. Jacobson, et al. (1987). ""Effects of Season and Area on Ectoparasites of White-Tailed Deer (Odocoileus virginianus) in Mississippi."" Journal of Wildlife Diseases 23(2): 261-266."
"Deng et al. 2000","Deng, M. Q., R. P. Peterson, and D. O. Cliver. 2000. First findings of Cryptosporidium and Giardia in California sea lions (Zalophus californianus). Journal of Parasitology 86:490-494."
"Dennison et al. 2007","Dennison, S., F. Gulland, M. Haulena, H. De Morais and K. Colegrove. 2007. Urate nephrolithiasis in a northern elephant seal (mirounga angustirostris) and a california sea lion (zalophus californianus). Journal of Zoo and Wildlife Medicine 38: 114-120"
"Despres et al 1995","Despres, L., Kruger, F. J., Imbert-Establet, D. and M. L. Adamson (1995) ITS Ribosomal RNA indicates Schistosoma hippopotami is a distinct species. International Journal for Parasitology, 25: 1509-1514."
"Dewals et al. 2005","Dewals, B., Gillet, L., Gerdes, T., Taracha, E. L. N., Thiry, E., Vanderplasschen, A. (2005) Antibodies against bovine herpesvirus 4 are highlyprevalent in wild African buffaloes throughouteastern and southern Africa. Veterinary Microbiology 110: 209-220."
"Dharmarajan et al. 2003","Dharmarajan, G., Raman, M., John, M.C. (2003) Effect of cattle and habitat on helminth community structure of chital. International Journal of Systematic and Evolutionary Microbiology 80: 984-987."
"Dharmarajan et al. 2004","Dharmarajan, G., Raman, M., John, M. C. (2004) Are Worms Affected by Host Ecology?  A Perspective from Mudumalai Wildlife Sanctuary, Southern India. Journal of the Bombay Natural History Society 101: 399-402."
"Dharmarajan, et al. 2005","Dharmarajan, G., Raman, M., John, M. C. (2005) Effect of Season on Helminth Loads of Wild Herbivores and Cattle in The Mudumalai Wildlife Sanctuary, Southern India.. Zoo's Print Journal 20: 1766-1769."
"Di Cerbo et al. 2008a","Di Cerbo, A. R., M. T. Manfredi, K. Trevisiol, M. Bregoli, N. Ferrari, F. Pirinesi and S. Bazzoli. 2008. Intestinal helminth communities of the red fox (vulpes vulpes l.) in the italian alps. Acta Parasitologica 53: 302-311"
"Di Cerbo et al. 2008b","Di Cerbo, A. R., M. T. Manfredi, M. Bregoli, N. F. Milone and M. Cova. 2008. Wild carnivores as source of zoonotic helminths in north-eastern italy. Helminthologia 45: 13-19"
